Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Transaction_Frequency,Amount_ZScore,Is_Night_Transaction,Transaction_Velocity,Location_Anomaly,Transaction_Acceleration,Device_Anomaly
T12590,4263,3307.64,POS Payment,,Tablet,New York,3,57,13,Debit Card,0.12280701754385964,0.308626486441708,0,6.842105263157895,1,1.5689655172413792,0
T29557,4231,3252.55,Bank Transfer,12.0,Tablet,New York,4,102,8,Credit Card,0.13725490196078433,0.49789745104383587,0,2.3529411764705883,1,0.8818897637795275,1
T31709,4472,3951.36,Bank Transfer,7.0,Mobile,Chicago,2,87,8,UPI,0.1724137931034483,-0.31498826956901743,0,2.7586206896551726,1,1.2244897959183674,1
T6414,4854,3912.79,POS Payment,18.0,Tablet,San Francisco,2,82,8,Net Banking,0.2804878048780488,1.240801655832203,0,2.926829268292683,1,0.9684210526315791,1
T16112,4364,4332.14,Online Purchase,5.0,Mobile,Seattle,0,101,10,,0.13861386138613863,2.154284483055835,1,2.9702970297029703,1,1.2727272727272727,1
T27859,2523,1913.91,ATM Withdrawal,,Mobile,Los Angeles,1,72,2,Net Banking,0.2638888888888889,-0.34310816526401766,0,0.8333333333333334,1,0.31932773109243695,1
T42445,2219,2400.85,Bank Transfer,0.0,Desktop,Miami,2,88,12,UPI,0.13636363636363635,-0.2316558219662964,1,4.090909090909091,1,1.7777777777777777,1
T5170,3587,1393.54,Bank Transfer,2.0,Desktop,Chicago,3,106,1,UPI,0.16037735849056603,-1.5480462702328917,1,0.2830188679245283,1,0.13076923076923078,1
T34280,1793,3948.93,Bill Payment,17.0,Desktop,Boston,0,68,1,Debit Card,0.27941176470588236,-0.14025444999014341,0,0.4411764705882353,1,0.13013698630136986,1
T39213,3072,2820.23,Bank Transfer,15.0,Desktop,Boston,0,110,13,Debit Card,0.11818181818181818,-0.10948703654711998,0,3.5454545454545454,1,1.8571428571428572,1
T12610,1966,3045.17,POS Payment,5.0,Desktop,San Francisco,4,119,1,UPI,0.11764705882352941,0.8339661900858142,1,0.25210084033613445,1,0.11764705882352941,1
T29699,4742,2818.69,ATM Withdrawal,8.0,,Chicago,1,39,9,UPI,0.28205128205128205,0.44834659011562983,0,6.9230769230769225,1,1.3561643835616437,1
T2111,1806,2642.9,Online Purchase,12.0,Tablet,Boston,0,46,11,UPI,0.2826086956521739,-0.2161876112286942,0,7.173913043478261,1,1.3,1
T44920,4117,2239.2,Bill Payment,20.0,Desktop,San Francisco,4,61,9,Credit Card,0.21311475409836064,-0.12631470809626,0,4.426229508196721,1,1.0353982300884956,1
T3336,3514,2859.75,Bill Payment,5.0,Desktop,Seattle,1,30,5,UPI,0.36666666666666664,-0.4384793110260781,1,5.0,1,0.7142857142857143,1
T13864,2854,2860.16,ATM Withdrawal,7.0,Tablet,Chicago,2,8,10,UPI,2.25,0.01651966643148331,0,10.0,1,1.44,1
T44921,3274,2248.29,Bank Transfer,13.0,Desktop,Miami,3,53,12,Debit Card,0.2830188679245283,-0.019998099221849818,0,6.7924528301886795,1,1.9148936170212767,1
T37226,3539,622.59,Bill Payment,13.0,Tablet,Chicago,2,98,10,Net Banking,0.12244897959183673,-1.1501464748440986,0,3.061224489795918,1,1.2244897959183674,1
T19243,1500,4821.39,Online Purchase,17.0,Desktop,,2,13,3,UPI,0.9230769230769231,1.5420693166329453,0,3.0,1,0.4090909090909091,1
T31040,2651,1484.87,Bank Transfer,12.0,Mobile,Miami,4,107,4,Debit Card,0.09345794392523364,-0.7957244342048316,0,1.1214953271028036,1,0.7407407407407407,1
T45129,4967,,Bank Transfer,9.0,Unknown Device,New York,2,51,10,UPI,0.3137254901960784,,0,5.882352941176471,1,1.2903225806451613,1
T48490,4485,363.71,Online Purchase,2.0,,Boston,1,82,8,Credit Card,0.13414634146341464,-1.501186724106023,1,2.926829268292683,1,1.0731707317073171,1
T29604,4531,4731.19,Bank Transfer,2.0,Mobile,,0,39,11,Debit Card,0.2564102564102564,1.230344627179571,1,8.461538461538462,1,1.6923076923076923,1
T880,1713,3509.5,Bank Transfer,2.0,Desktop,Miami,3,26,10,,0.46153846153846156,0.5547877098915764,1,10.0,1,1.2765957446808511,1
T4851,4375,2887.66,Bank Transfer,12.0,Desktop,Miami,0,26,14,Net Banking,0.5,0.245337103359465,0,14.0,1,1.4330708661417322,1
T46566,4691,3940.74,Bank Transfer,9.0,Mobile,Chicago,2,80,9,UPI,0.175,1.4285114692408785,0,3.375,1,1.086206896551724,1
T39996,3372,1771.55,Bank Transfer,23.0,Mobile,San Francisco,3,86,5,UPI,0.18604651162790697,-0.46277922637205915,0,1.744186046511628,1,0.6153846153846154,1
T25911,4986,562.8,Bill Payment,14.0,Unknown Device,Chicago,2,118,5,Debit Card,0.1016949152542373,-1.1820551365705694,0,1.2711864406779663,1,0.631578947368421,1
T8493,1382,3949.88,Online Purchase,12.0,Tablet,Seattle,0,73,13,Debit Card,0.1917808219178082,1.1127090274688762,0,5.342465753424658,1,1.801980198019802,1
T42373,2408,2629.62,Bill Payment,16.0,Tablet,Seattle,0,18,12,Debit Card,0.8333333333333334,-0.23962943765921457,0,12.0,1,1.5517241379310345,1
T49440,3806,128.04,Online Purchase,14.0,Mobile,Chicago,3,76,13,Debit Card,0.2236842105263158,-1.520156462202401,0,5.131578947368421,1,2.188118811881188,1
T37831,1292,2246.33,Online Purchase,10.0,Mobile,Boston,1,71,3,UPI,0.22535211267605634,-0.2998214168322377,0,1.267605633802817,1,0.32653061224489793,1
T509,2686,1060.35,POS Payment,3.0,Desktop,New York,4,100,7,Invalid Method,0.17,-1.0089482769226232,1,2.1,1,0.9520000000000001,1
T37791,3121,749.74,Online Purchase,8.0,Mobile,Miami,3,21,11,Debit Card,0.7619047619047619,-1.1931256044411573,0,11.0,1,1.1210191082802548,1
T21348,3380,2348.92,ATM Withdrawal,23.0,Desktop,Chicago,4,77,5,Net Banking,0.2077922077922078,-0.23036487457651758,0,1.9480519480519478,1,0.6451612903225806,1
T46589,3134,2820.65,ATM Withdrawal,11.0,Desktop,Miami,3,27,8,UPI,1.037037037037037,-0.2547301845334227,0,8.0,1,1.087378640776699,1
T42781,2419,4296.81,POS Payment,6.0,Unknown Device,San Francisco,2,51,5,Debit Card,0.29411764705882354,1.2734200970020435,1,2.9411764705882355,1,0.7978723404255319,1
T26557,2994,894.1,Bill Payment,12.0,Desktop,New York,3,79,11,UPI,0.24050632911392406,-0.9582809811960232,0,4.177215189873418,1,1.5597014925373136,1
T3594,2850,1764.64,Online Purchase,,Desktop,Boston,3,71,9,Debit Card,0.14084507042253522,-0.4042274138078858,0,3.8028169014084505,1,1.3043478260869565,1
T9198,3353,2522.11,POS Payment,9.0,Tablet,New York,0,49,13,Invalid Method,0.22448979591836735,-0.24520906447779492,0,7.959183673469388,1,1.3119266055045873,1
T33192,2670,3320.03,ATM Withdrawal,6.0,Desktop,Los Angeles,0,95,8,Debit Card,0.09473684210526316,0.034974596268001173,1,2.5263157894736845,1,0.9473684210526315,1
T2864,3828,3805.41,Bill Payment,9.0,Tablet,,0,102,7,UPI,0.10784313725490197,0.33391418591281974,0,2.058823529411765,1,0.8953488372093024,1
T32482,4574,3526.75,Bill Payment,5.0,Desktop,Chicago,4,19,3,Net Banking,1.0526315789473684,0.5951447117392538,1,3.0,1,0.38461538461538464,1
T19513,1347,1190.18,Online Purchase,13.0,Mobile,Boston,0,47,7,Credit Card,0.2978723404255319,-0.713063913506754,0,4.468085106382979,1,0.9333333333333333,1
T32432,2260,,POS Payment,14.0,Desktop,Miami,1,20,9,Debit Card,0.85,,0,9.0,1,1.3304347826086957,1
T43165,4646,1084.47,Online Purchase,9.0,Mobile,New York,1,96,1,UPI,0.15625,-0.7991725107464459,0,0.3125,1,0.1875,1
T7585,1757,1861.62,Bill Payment,12.0,Mobile,Miami,0,99,9,Debit Card,0.18181818181818182,-0.3763826754373137,0,2.7272727272727275,1,1.1571428571428573,1
T32911,1431,833.83,ATM Withdrawal,12.0,Tablet,Los Angeles,2,50,9,Debit Card,0.3,-1.6794705855185557,0,5.3999999999999995,1,1.0546875,1
T16422,3061,1016.99,Online Purchase,18.0,Desktop,Boston,3,74,14,Invalid Method,0.17567567567567569,-0.35103568536970886,0,5.675675675675675,1,1.7669902912621358,1
T17245,3583,704.6,Bank Transfer,11.0,Mobile,Seattle,4,33,9,Invalid Method,0.45454545454545453,-1.5596698426338833,0,8.181818181818182,1,1.1637931034482758,1
T34083,2015,955.15,POS Payment,8.0,Desktop,Boston,4,109,8,Credit Card,0.11926605504587157,-0.3820061964144448,0,2.2018348623853212,1,0.8739495798319328,1
T18149,4119,4791.91,Bill Payment,4.0,Mobile,Boston,0,73,7,Debit Card,0.1780821917808219,1.1364346338680114,1,2.8767123287671237,1,0.7913043478260869,1
T21241,4473,3850.18,Online Purchase,23.0,Unknown Device,Los Angeles,4,28,1,Credit Card,0.39285714285714285,0.01173991809417144,0,1.0,1,0.12087912087912087,1
T24164,2735,1932.14,POS Payment,19.0,Tablet,San Francisco,0,28,6,Net Banking,0.32142857142857145,0.4569443931120238,0,6.0,1,1.125,1
T38965,1480,,POS Payment,12.0,Mobile,,3,52,7,Credit Card,0.3269230769230769,,0,4.038461538461538,1,1.1018518518518519,1
T11475,2668,3047.69,POS Payment,3.0,Unknown Device,New York,4,113,14,Net Banking,0.08849557522123894,0.5764031201407455,1,3.7168141592920354,1,1.5555555555555556,1
T39768,1778,751.19,ATM Withdrawal,21.0,Desktop,San Francisco,2,71,2,Debit Card,0.16901408450704225,-0.9409268173597463,0,0.8450704225352113,1,0.24742268041237112,1
T25540,3491,3611.54,Bill Payment,21.0,Desktop,Chicago,0,1,8,Net Banking,15.0,0.8914429877601968,0,8.0,1,1.2244897959183674,1
T9062,2351,303.44,Online Purchase,,Mobile,Miami,1,89,4,Debit Card,0.21348314606741572,-0.8786875964966903,0,1.348314606741573,1,0.4903225806451613,1
T38882,3130,838.87,POS Payment,1.0,,Miami,4,69,3,Debit Card,0.2318840579710145,-1.22679467502501,1,1.3043478260869565,1,0.4485981308411215,1
T23823,2208,1719.53,ATM Withdrawal,2.0,Desktop,New York,2,100,5,UPI,0.09,-0.543848762038392,1,1.5,1,0.75,1
T18949,2454,682.76,POS Payment,7.0,Desktop,Seattle,0,114,8,Credit Card,0.10526315789473684,-1.2736351564263435,0,2.1052631578947367,1,0.8888888888888888,1
T25887,4317,2165.05,Online Purchase,21.0,Desktop,San Francisco,0,64,7,UPI,0.328125,-0.23966396828993997,0,3.28125,1,0.9671052631578947,1
T30056,1714,3153.42,Online Purchase,7.0,Mobile,Los Angeles,4,98,6,UPI,0.12244897959183673,0.6795334585357731,0,1.836734693877551,1,0.8372093023255813,1
T33089,2239,4198.75,Bill Payment,10.0,Desktop,Miami,4,77,5,Debit Card,0.2077922077922078,2.2486446046405355,0,1.9480519480519478,1,0.6896551724137931,1
T16178,4031,3125.17,Bank Transfer,17.0,Desktop,New York,2,95,1,Net Banking,0.2,0.7480051599166724,0,0.31578947368421056,1,0.12418300653594772,1
T17613,2092,1552.5,Bill Payment,5.0,Tablet,Boston,0,5,10,,2.4,-0.3830034619861504,1,10.0,1,1.1881188118811883,1
T48758,1564,3797.83,Bill Payment,16.0,Tablet,Miami,4,64,8,Credit Card,0.171875,1.506365700175784,0,3.75,1,1.0602409638554215,1
T32311,1848,788.93,ATM Withdrawal,5.0,Desktop,Miami,2,58,11,Credit Card,0.27586206896551724,-1.0369777452503317,1,5.689655172413793,1,1.4308943089430894,1
T27070,2208,4580.94,Online Purchase,15.0,Tablet,Seattle,1,112,3,Invalid Method,0.08035714285714286,1.2824873008849675,0,0.8035714285714286,1,0.44999999999999996,1
T30834,2549,2229.79,Bank Transfer,,Mobile,Boston,0,74,8,UPI,0.14864864864864866,-0.15819204376697413,0,3.243243243243243,1,1.0476190476190477,0
T7614,3619,55.27,Bill Payment,2.0,Mobile,New York,2,82,4,Net Banking,0.10975609756097561,-1.0222856905446223,1,1.4634146341463414,1,0.6206896551724138,1
T38087,2439,3841.63,Online Purchase,20.0,Unknown Device,Miami,3,42,9,Net Banking,0.38095238095238093,0.12039121212867272,0,6.428571428571429,1,1.1612903225806452,1
T6114,1274,3714.49,Bank Transfer,23.0,,Seattle,0,58,1,,0.20689655172413793,0.2977153710327929,0,0.5172413793103449,1,0.1411764705882353,1
T6425,3607,4014.99,ATM Withdrawal,21.0,Mobile,Houston,2,67,11,Credit Card,0.23880597014925373,0.7484785927096359,0,4.925373134328358,1,1.4789915966386555,1
T3038,2660,2656.16,Bill Payment,19.0,Tablet,Houston,3,104,6,Credit Card,0.15384615384615385,0.21619974381301235,0,1.7307692307692306,1,0.8421052631578947,1
T30502,1497,1589.49,Bank Transfer,18.0,Desktop,New York,0,111,14,,0.15315315315315314,-1.1512909954940542,0,3.7837837837837838,1,1.6527777777777777,1
T35570,2611,4258.82,Bill Payment,1.0,Tablet,Houston,4,55,4,Net Banking,0.12727272727272726,1.7010883052962482,1,2.181818181818182,1,0.5185185185185185,0
T3397,3502,,POS Payment,18.0,Tablet,San Francisco,1,25,7,Debit Card,0.72,,0,7.0,1,1.1559633027522935,1
T11824,4050,49997.8,Bill Payment,21.0,Desktop,Miami,1,72,8,,0.1527777777777778,3.0030772767935248,0,3.3333333333333335,1,1.0232558139534884,1
T22214,1561,3773.93,POS Payment,16.0,Desktop,Los Angeles,2,80,9,Credit Card,0.175,-0.14956101685786682,0,3.375,1,0.9264705882352942,1
T2983,2671,1653.23,Online Purchase,2.0,Mobile,Los Angeles,0,33,2,Debit Card,0.3939393939393939,-1.5681624903244868,1,1.8181818181818181,1,0.26262626262626265,1
T7802,1925,3303.33,Bank Transfer,10.0,Desktop,Los Angeles,4,117,13,Debit Card,0.08547008547008547,0.22207218751996427,0,3.3333333333333335,1,1.5294117647058822,1
T13589,1595,1456.92,Bank Transfer,0.0,Desktop,Houston,4,60,12,UPI,0.26666666666666666,-0.5309565129580163,1,6.0,1,1.476923076923077,1
T4705,2900,183.5,ATM Withdrawal,12.0,Tablet,Houston,4,50,13,Credit Card,0.2,-1.189603001843293,0,7.8,1,1.5116279069767442,1
T28213,1241,3284.59,ATM Withdrawal,16.0,Desktop,Boston,4,100,6,Net Banking,0.13,1.519325066229633,0,1.7999999999999998,1,0.7722772277227723,1
T28878,4442,4387.74,Online Purchase,20.0,Mobile,Miami,1,81,13,Debit Card,0.13580246913580246,0.7621689928956471,0,4.814814814814815,1,2.1666666666666665,1
T38925,1218,3931.82,Bank Transfer,12.0,Desktop,Miami,1,98,1,Debit Card,0.12244897959183673,1.2242033959321579,0,0.30612244897959184,1,0.13636363636363638,1
T28704,2986,3660.28,POS Payment,16.0,Mobile,Seattle,1,101,11,UPI,0.2376237623762376,-0.03671569642713753,0,3.267326732673267,1,1.2692307692307694,1
T28596,2777,2444.66,Bill Payment,23.0,Tablet,Los Angeles,2,99,1,Net Banking,0.15151515151515152,-0.5292654716867966,0,0.30303030303030304,1,0.14423076923076922,1
T13390,2646,4035.51,Online Purchase,,Desktop,Boston,1,21,11,Credit Card,0.7142857142857143,0.8004053334949474,0,11.0,1,1.1702127659574468,1
T39570,3952,850.21,Bank Transfer,23.0,Tablet,Houston,2,93,4,Net Banking,0.10752688172043011,-1.6083562518028458,0,1.2903225806451613,1,0.6349206349206349,0
T15999,3939,,Bill Payment,7.0,Mobile,Miami,1,68,12,Debit Card,0.2647058823529412,,0,5.294117647058823,1,1.5766423357664234,1
T8953,3136,3830.67,POS Payment,20.0,Mobile,New York,2,25,11,Net Banking,0.36,0.4663132947782881,0,11.0,1,1.596774193548387,1
T41470,1785,4073.95,Bill Payment,6.0,Tablet,New York,1,26,6,Net Banking,0.5769230769230769,1.2946348474758589,1,6.0,1,0.6206896551724138,1
T47893,3272,2994.8,Bank Transfer,14.0,Mobile,Houston,0,21,14,Credit Card,0.8571428571428571,0.14738739921829327,0,14.0,1,1.880597014925373,1
T39607,4012,1141.56,Online Purchase,14.0,Desktop,Houston,4,89,12,Debit Card,0.24719101123595505,-0.6062521594761134,0,4.044943820224719,1,1.8992805755395683,1
T29090,1333,49997.8,Bank Transfer,1.0,Tablet,Seattle,3,81,1,UPI,0.14814814814814814,2.1358412263389894,1,0.37037037037037035,1,0.1935483870967742,1
T48220,4463,3126.18,Bill Payment,15.0,Mobile,Houston,0,63,14,Debit Card,0.19047619047619047,-0.12812799207162825,0,6.666666666666666,1,1.8461538461538463,1
T35540,2127,4244.08,ATM Withdrawal,5.0,Mobile,,3,60,11,UPI,0.21666666666666667,0.9150723648672296,1,5.5,1,1.7654320987654322,1
T30781,3040,,ATM Withdrawal,0.0,Tablet,,0,55,10,Net Banking,0.3090909090909091,,1,5.454545454545455,1,1.2592592592592593,1
T32977,3744,1137.09,POS Payment,11.0,Desktop,San Francisco,0,100,14,Credit Card,0.15,-0.4211629229990785,0,4.2,1,1.8103448275862069,1
T44182,2084,227.41,ATM Withdrawal,12.0,Desktop,Seattle,2,60,11,UPI,0.21666666666666667,-0.44904391986076553,0,5.5,1,1.3883495145631068,1
T23274,4036,136.08,Bill Payment,23.0,Desktop,Chicago,2,77,11,,0.15584415584415584,-1.0249299340425826,0,4.285714285714286,1,1.5714285714285714,1
T1004,4190,2828.74,Bill Payment,21.0,Tablet,Boston,2,97,14,Credit Card,0.1958762886597938,0.18102790388599085,0,4.329896907216495,1,1.7972972972972971,1
T34568,2052,4354.89,POS Payment,10.0,Tablet,New York,0,106,9,Net Banking,0.09433962264150944,0.6696286432782534,0,2.547169811320755,1,1.0975609756097562,0
T45423,3619,2717.46,Bank Transfer,6.0,Desktop,Chicago,0,48,11,Debit Card,0.1875,0.3726845508988042,1,6.875,1,1.706896551724138,1
T20255,2938,1286.84,POS Payment,22.0,Mobile,Seattle,0,85,2,Debit Card,0.2,-0.3726946825575386,0,0.7058823529411764,1,0.24285714285714288,1
T5504,4115,3628.87,ATM Withdrawal,7.0,Desktop,San Francisco,4,2,11,Debit Card,7.0,0.8084846074758625,0,11.0,1,1.115942028985507,1
T44460,1727,1976.76,POS Payment,3.0,Mobile,New York,3,27,6,UPI,0.5555555555555556,-0.8687330532194952,1,6.0,1,0.8490566037735849,1
T32225,3388,4265.7,Bill Payment,21.0,Desktop,Boston,3,94,1,Debit Card,0.09574468085106383,1.9560466747346148,0,0.3191489361702128,1,0.16363636363636364,1
T30311,3160,3357.89,POS Payment,17.0,Desktop,Houston,3,24,8,Net Banking,0.9166666666666666,0.5204102338279943,0,8.0,1,1.442622950819672,1
T32714,1854,2312.76,Bill Payment,6.0,Tablet,Chicago,2,52,6,,0.23076923076923078,-0.2183076988825599,1,3.4615384615384612,1,0.7741935483870968,1
T40418,3988,714.09,POS Payment,18.0,Desktop,Miami,3,6,10,Debit Card,2.3333333333333335,-0.9229893692005625,0,10.0,1,1.0769230769230769,1
T18604,2744,2953.76,POS Payment,,Mobile,Houston,0,23,13,Debit Card,0.5652173913043478,0.04250792633489042,0,13.0,1,1.7789473684210526,1
T24866,1706,2860.21,Bill Payment,12.0,Unknown Device,Houston,4,38,3,Credit Card,0.3157894736842105,0.05270017928719921,0,2.368421052631579,1,0.41860465116279066,1
T24522,3067,357.06,Online Purchase,,Desktop,Houston,4,38,5,Debit Card,0.18421052631578946,-0.8112112527797934,0,3.947368421052632,1,0.5147058823529412,1
T41712,3649,4607.24,Bank Transfer,4.0,Mobile,Chicago,2,73,6,Debit Card,0.136986301369863,1.8218540707670945,1,2.4657534246575343,1,0.8,1
T42330,3428,3147.57,Bill Payment,18.0,Tablet,Boston,4,96,8,Net Banking,0.21875,0.5004399131840899,0,2.5,1,1.0434782608695652,1
T21584,2064,3782.87,ATM Withdrawal,10.0,Tablet,Seattle,1,52,9,Credit Card,0.1346153846153846,0.7682630060510945,0,5.1923076923076925,1,1.0327868852459017,1
T40095,4956,742.09,POS Payment,17.0,Desktop,Boston,3,96,11,Debit Card,0.19791666666666666,-0.3116204336732317,0,3.4375,1,1.4413793103448276,1
T30118,4410,4367.9,ATM Withdrawal,8.0,Desktop,New York,2,85,5,UPI,0.21176470588235294,0.8795732262762026,0,1.7647058823529411,1,0.8490566037735848,1
T19840,4348,115.61,Bill Payment,3.0,Tablet,Houston,1,72,3,Net Banking,0.2916666666666667,-1.4429710943449043,1,1.25,1,0.3795180722891566,1
T19288,2060,4501.49,Online Purchase,5.0,Unknown Device,Los Angeles,3,81,2,UPI,0.2345679012345679,1.0180563556651243,1,0.7407407407407407,1,0.2695035460992908,1
T24190,1864,,ATM Withdrawal,18.0,Tablet,Miami,2,84,9,Debit Card,0.11904761904761904,,0,3.2142857142857144,1,1.2,1
T43148,4630,2217.24,Bank Transfer,2.0,Desktop,Seattle,0,30,13,Debit Card,0.43333333333333335,-0.5103623870048858,1,13.0,1,1.456896551724138,1
T20769,3771,4844.13,Bill Payment,20.0,Tablet,Seattle,1,12,3,UPI,0.8333333333333334,-0.17962648566764527,0,3.0,1,0.4411764705882353,1
T5937,4641,1642.63,Bank Transfer,21.0,Desktop,San Francisco,1,58,8,Net Banking,0.3103448275862069,-0.7574388654660843,0,4.137931034482759,1,1.0434782608695652,1
T28086,4686,2484.37,Bank Transfer,9.0,Tablet,Miami,1,22,11,Debit Card,0.5909090909090909,0.04780843569450325,0,11.0,1,1.232758620689655,1
T38465,4957,1910.18,Online Purchase,4.0,Desktop,Chicago,4,41,3,Debit Card,0.3902439024390244,-0.28255253644800304,1,2.1951219512195124,1,0.3609022556390977,1
T2580,2324,2961.7,Online Purchase,12.0,Desktop,Chicago,0,80,4,UPI,0.1125,0.22008359760671067,0,1.5,1,0.8,1
T2711,3334,3685.86,ATM Withdrawal,18.0,Tablet,San Francisco,2,74,13,Debit Card,0.16216216216216217,0.7264315433899735,0,5.27027027027027,1,1.5145631067961165,1
T33936,1955,1992.58,POS Payment,6.0,Tablet,Seattle,2,45,9,Debit Card,0.3333333333333333,-0.25489969104235366,1,6.0,1,1.0150375939849623,1
T5188,2123,3629.32,Bill Payment,1.0,Mobile,San Francisco,2,67,4,UPI,0.11940298507462686,0.44482450876900453,1,1.791044776119403,1,0.9411764705882353,1
T12488,4190,4887.35,Online Purchase,8.0,Tablet,Boston,2,105,1,UPI,0.18095238095238095,1.5042272122894134,0,0.2857142857142857,1,0.12837837837837837,1
T32258,2649,1891.77,Online Purchase,15.0,Mobile,Seattle,2,21,9,Credit Card,0.7142857142857143,-0.7618232306251961,0,9.0,1,1.2162162162162162,1
T23288,2854,1977.36,Bill Payment,19.0,Desktop,Houston,3,115,13,Credit Card,0.1565217391304348,-0.5054732716401672,0,3.391304347826087,1,1.8719999999999999,1
T19591,4814,1037.12,ATM Withdrawal,13.0,Mobile,Miami,2,77,8,Debit Card,0.23376623376623376,-0.32158630801149424,0,3.1168831168831166,1,1.161290322580645,1
T13877,1973,1996.31,POS Payment,4.0,Desktop,Houston,4,39,12,Invalid Method,0.3076923076923077,-0.060733855593915094,1,9.23076923076923,1,1.2100840336134455,1
T38110,1989,,POS Payment,7.0,Desktop,Seattle,0,46,14,Debit Card,0.32608695652173914,,0,9.130434782608695,1,1.4,1
T19275,1965,2184.24,Bank Transfer,4.0,Tablet,New York,3,79,13,UPI,0.1518987341772152,-0.4669593077911155,1,4.936708860759493,1,1.813953488372093,1
